layer,matrix,record,strategy,variant,eig_imag_max,eig_max,eig_min,erank,fro,n_sv_gt_0.01,n_sv_gt_0.5,quota,quota_a,quota_b,rel_fro,sym_err,top10_align,top32_align,trace
5,C_success,diagnostic,global_a0.1,V0,0,0.984179,3.31031e-06,45.3128,5.13926,70,35,0.0314694,,,,0,,,32.2246
5,C_failure,diagnostic,global_a0.1,V0,0,0.984175,3.85548e-06,45.8552,5.1403,72,35,0.0315595,,,,0,,,32.317
5,C_contrastive,diagnostic,global_a0.1,V0,0,0.333645,3.31031e-06,71.3655,0.932334,70,0,0.00639752,,,,0.0762459,,,6.55106
5,C_success,diagnostic,global_a0.1,V1,0,0.983713,9.67996e-08,39.2737,2.81788,49,8,0.0159064,,,,0,,,16.2881
5,C_failure,diagnostic,global_a0.1,V1,0,0.983676,2.73109e-07,40.2146,2.83783,51,8,0.0162329,,,,2.2662e-13,,,16.6225
5,C_contrastive,diagnostic,global_a0.1,V1,0,0.383404,9.67965e-08,42.7007,1.78439,49,0,0.0105832,,,,0.0463657,,,10.8372
5,C_success,diagnostic,global_a0.1,V2,0,0.838156,9.67832e-08,39.1569,2.68192,49,7,0.0151753,,,,0,,,15.5396
5,C_failure,diagnostic,global_a0.1,V2,0,0.845511,2.72898e-07,40.0925,2.70412,51,7,0.0155055,,,,0,,,15.8777
5,C_contrastive,diagnostic,global_a0.1,V2,0,0.383483,9.67868e-08,42.6776,1.77928,49,0,0.0105676,,,,0.0417427,,,10.8212
5,C_success,diagnostic,global_a0.1,V3,0,0.838156,9.67832e-08,39.1569,2.68192,49,7,0.0151753,,,,0,,,15.5396
5,C_failure,diagnostic,global_a0.1,V3,0,0.845511,2.72898e-07,40.0925,2.70412,51,7,0.0155055,,,,0,,,15.8777
5,C_contrastive,diagnostic,global_a0.1,V3,0,0.382937,9.67784e-08,42.6982,1.77704,49,0,0.0105616,,,,1.98932e-09,,,10.8151
5,C_success,V1_vs_V0,global_a0.1,V1|V0,,,,,,,,,0.0159064,0.0314694,0.52997,,0.556635,0.920342,
5,C_failure,V1_vs_V0,global_a0.1,V1|V0,,,,,,,,,0.0162329,0.0315595,0.518223,,0.521329,0.923496,
5,C_contrastive,V1_vs_V0,global_a0.1,V1|V0,,,,,,,,,0.0105832,0.00639752,1.23083,,0.156446,0.858822,
5,C_success,V2_vs_V1,global_a0.1,V2|V1,,,,,,,,,0.0151753,0.0159064,0.265646,,0.900093,0.968667,
5,C_failure,V2_vs_V1,global_a0.1,V2|V1,,,,,,,,,0.0155055,0.0162329,0.262454,,0.899872,0.968732,
5,C_contrastive,V2_vs_V1,global_a0.1,V2|V1,,,,,,,,,0.0105676,0.0105832,0.121792,,0.994934,0.980161,
5,C_success,V3_vs_V2,global_a0.1,V3|V2,,,,,,,,,0.0151753,0.0151753,1.87339e-15,,1,1,
5,C_failure,V3_vs_V2,global_a0.1,V3|V2,,,,,,,,,0.0155055,0.0155055,1.48714e-14,,1,1,
5,C_contrastive,V3_vs_V2,global_a0.1,V3|V2,,,,,,,,,0.0105616,0.0105676,0.0266924,,0.998979,0.999441,
5,C_success,V0_vs_V3,global_a0.1,V0|V3,,,,,,,,,0.0314694,0.0151753,1.05398,,0.562976,0.93607,
5,C_failure,V0_vs_V3,global_a0.1,V0|V3,,,,,,,,,0.0315595,0.0155055,1.02373,,0.546047,0.934772,
