episode,init_state,baseline_success,baseline_rollout_steps,baseline_steps_to_success,repo_success,repo_rollout_steps,repo_steps_to_success,paper_success,paper_rollout_steps,paper_steps_to_success
0,15,1,256,255,1,200,199,1,195,194
1,16,0,520,,1,234,233,1,230,229
2,17,1,218,217,0,520,,1,218,217
3,18,0,520,,1,200,199,1,248,247
4,19,0,520,,0,520,,1,203,202
5,20,0,520,,1,216,215,1,237,236
6,21,1,211,210,0,520,,1,236,235
7,22,1,216,215,1,221,220,1,213,212
8,23,0,520,,1,227,226,1,209,208
9,24,1,220,219,1,230,229,0,520,
10,25,1,239,238,0,520,,0,520,
11,26,1,256,255,1,443,442,0,520,
12,27,1,248,247,0,520,,0,520,
13,28,0,520,,1,203,202,0,520,
14,29,0,520,,1,216,215,1,224,223
