episode,init_state,baseline_success,baseline_rollout_steps,baseline_steps_to_success,repo_success,repo_rollout_steps,repo_steps_to_success,paper_success,paper_rollout_steps,paper_steps_to_success,nf100_success,nf100_rollout_steps,nf100_steps_to_success,nf200_success,nf200_rollout_steps,nf200_steps_to_success,nf300_success,nf300_rollout_steps,nf300_steps_to_success
0,15,1,216,215,0,520,,0,520,,1,216,215,0,520,,1,201,200
1,16,1,215,214,1,212,211,1,206,205,1,215,214,0,520,,0,520,
2,17,1,262,261,1,238,237,1,239,238,1,262,261,1,209,208,1,241,240
3,18,1,252,251,0,520,,0,520,,1,252,251,0,520,,1,322,321
4,19,1,211,210,1,201,200,1,213,212,1,211,210,1,208,207,1,210,209
5,20,1,352,351,1,232,231,1,238,237,1,352,351,1,250,249,1,253,252
6,21,0,520,,1,203,202,1,201,200,0,520,,1,215,214,1,260,259
7,22,1,228,227,1,238,237,1,226,225,1,228,227,1,219,218,1,209,208
8,23,1,259,258,1,253,252,1,241,240,1,259,258,0,520,,0,520,
9,24,1,235,234,0,520,,0,520,,1,235,234,0,520,,1,235,234
10,25,1,217,216,1,221,220,1,221,220,1,217,216,0,520,,0,520,
11,26,1,240,239,1,258,257,1,246,245,1,240,239,0,520,,0,520,
12,27,1,249,248,1,224,223,1,291,290,1,249,248,0,520,,1,294,293
13,28,0,520,,0,520,,0,520,,0,520,,1,242,241,1,205,204
14,29,1,222,221,1,224,223,1,243,242,1,222,221,1,226,225,0,520,
