denoising_step,n,mean_delta_norm_mean,max_delta_norm_mean,mean_relative_delta_mean,max_relative_delta_mean,mean_hidden_norm_mean,mean_cosine_delta_hidden_mean,mean_delta_norm_std,mean_delta_norm_min,mean_delta_norm_max
0,922,22.298259,24.939466,0.099633,0.100080,223.798563,-0.999763,0.48379,20.77264,24.10075
1,922,19.929967,22.294291,0.099640,0.100094,200.015910,-0.999750,0.43103,18.55745,21.47034
2,922,18.672053,20.726429,0.099607,0.100062,187.453618,-0.999704,0.37260,17.52892,20.01494
3,922,17.796272,19.573443,0.099573,0.100040,178.721188,-0.999678,0.32119,16.80861,18.97726
4,922,17.168178,18.709255,0.099529,0.100030,172.490307,-0.999653,0.27920,16.34241,18.20305
5,922,16.121262,17.377349,0.099463,0.100026,162.078633,-0.999629,0.23205,15.41522,17.01531
6,922,15.485780,16.528303,0.099388,0.100052,155.807823,-0.999601,0.20964,14.90489,16.37101
7,922,14.769472,15.601295,0.099293,0.100076,148.743747,-0.999557,0.20475,14.22171,15.58329
8,922,13.990306,14.632350,0.099131,0.100061,141.128364,-0.999482,0.21675,13.37033,14.75508
9,922,13.393623,13.910745,0.098926,0.099997,135.391005,-0.999336,0.25882,12.73765,14.33199
