episode,init_state,success,rollout_steps,inference_calls,mean_delta_norm,mean_relative_delta,mean_hidden_norm,mean_cosine_delta_hidden,mean_delta_norm_window,mean_relative_delta_window
0,15,0,520,104,16.91466,0.099425,170.0716,-0.999625,16.97326,0.099409
1,16,1,212,43,16.94435,0.099387,170.4327,-0.999598,16.95811,0.099388
2,17,1,238,48,16.96754,0.099404,170.6375,-0.999606,16.98361,0.099403
3,18,0,520,104,16.97957,0.099426,170.7215,-0.999616,16.99280,0.099417
4,19,1,201,41,16.91751,0.099409,170.1316,-0.999610,16.91751,0.099409
5,20,1,232,47,16.95197,0.099417,170.4587,-0.999615,16.93991,0.099416
6,21,1,203,41,17.01138,0.099411,171.0637,-0.999596,17.01138,0.099411
7,22,1,238,48,16.99154,0.099419,170.8521,-0.999619,17.00653,0.099421
8,23,1,253,51,16.87322,0.099403,169.6915,-0.999613,16.86012,0.099400
9,24,0,520,104,16.95848,0.099421,170.5179,-0.999617,17.03846,0.099403
10,25,1,222,45,16.99841,0.099421,170.9192,-0.999614,16.99693,0.099415
11,26,1,258,52,17.00134,0.099407,170.9730,-0.999611,16.98594,0.099403
12,27,1,224,45,17.03441,0.099422,171.2780,-0.999609,17.02290,0.099417
13,28,0,520,104,16.94087,0.099440,170.3107,-0.999627,17.02887,0.099411
14,29,1,224,45,17.03020,0.099418,171.2434,-0.999621,17.01322,0.099409
