episode,init_state,baseline_success,baseline_rollout_steps,coast_success,coast_rollout_steps,shrinkage_success,shrinkage_rollout_steps,coast_mean_delta_norm,coast_mean_relative_delta,coast_mean_hidden_norm,coast_mean_norm_ratio,shrinkage_mean_delta_norm,shrinkage_mean_relative_delta,shrinkage_mean_hidden_norm,shrinkage_mean_norm_ratio
0,15,1,216,0,520,0,520,16.914658,0.099425,170.071552,0.900617,17.300560,0.101631,170.226218,0.898380
1,16,1,215,1,212,1,211,16.944347,0.099387,170.432669,0.900657,17.327720,0.101635,170.488766,0.898376
2,17,1,262,1,238,1,239,16.967545,0.099404,170.637534,0.900640,17.349088,0.101618,170.725943,0.898394
3,18,1,252,0,520,0,520,16.979567,0.099426,170.721465,0.900616,17.349136,0.101624,170.716254,0.898388
4,19,1,211,1,201,1,209,16.917509,0.099409,170.131557,0.900634,17.293422,0.101638,170.144650,0.898373
5,20,1,352,1,232,1,238,16.951968,0.099417,170.458668,0.900626,17.335518,0.101636,170.563843,0.898376
6,21,0,520,1,203,0,520,17.011381,0.099411,171.063695,0.900633,17.355509,0.101633,170.765170,0.898379
7,22,1,228,1,238,1,177,16.991537,0.099419,170.852055,0.900623,17.405675,0.101632,171.258084,0.898379
8,23,1,259,1,253,1,239,16.873218,0.099403,169.691542,0.900639,17.258575,0.101641,169.798627,0.898371
9,24,1,235,0,520,0,520,16.958481,0.099421,170.517875,0.900621,17.336629,0.101628,170.585999,0.898383
10,25,1,217,1,222,1,224,16.998406,0.099421,170.919212,0.900622,17.379102,0.101624,171.011218,0.898388
11,26,1,240,1,258,1,246,17.001337,0.099407,170.972994,0.900636,17.363635,0.101625,170.854388,0.898386
12,27,1,249,1,224,1,248,17.034410,0.099422,171.278004,0.900622,17.403064,0.101634,171.228150,0.898377
13,28,0,520,0,520,0,520,16.940868,0.099440,170.310725,0.900602,17.326396,0.101631,170.480784,0.898381
14,29,1,222,1,225,1,217,17.033304,0.099422,171.267670,0.900620,17.417135,0.101640,171.361984,0.898372
