episode,init_state,baseline_success,baseline_rollout_steps,shrinkage_success,shrinkage_rollout_steps,coast_success,coast_rollout_steps,random_matched_success,random_matched_rollout_steps,shrinkage_mean_delta_norm,shrinkage_mean_relative_delta,shrinkage_mean_hidden_norm,shrinkage_mean_norm_ratio,coast_mean_delta_norm,coast_mean_relative_delta,coast_mean_hidden_norm,coast_mean_norm_ratio,random_matched_mean_delta_norm,random_matched_mean_relative_delta,random_matched_mean_hidden_norm,random_matched_mean_norm_ratio
0,15,1,216,0,520,0,520,0,520,17.300560,0.101631,170.226218,0.898380,16.914658,0.099425,170.071552,0.900617,16.645386,0.097831,170.140918,0.902329
1,16,1,215,1,211,1,212,1,209,17.327720,0.101635,170.488766,0.898376,16.944347,0.099387,170.432669,0.900657,16.675115,0.097833,170.444224,0.902328
2,17,1,262,1,239,1,238,1,234,17.349088,0.101618,170.725943,0.898394,16.967545,0.099404,170.637534,0.900640,16.692867,0.097832,170.630016,0.902331
3,18,1,252,0,520,0,520,0,520,17.349136,0.101624,170.716254,0.898388,16.979567,0.099426,170.721465,0.900616,16.707646,0.097832,170.775104,0.902328
4,19,1,211,1,239,1,201,1,208,17.307933,0.101636,170.290541,0.898376,16.917509,0.099409,170.131557,0.900634,16.636123,0.097821,170.063856,0.902340
5,20,1,352,1,238,1,232,1,231,17.335518,0.101636,170.563843,0.898376,16.951968,0.099417,170.458668,0.900626,16.677119,0.097837,170.454678,0.902324
6,21,0,520,0,520,1,203,1,200,17.355509,0.101633,170.765170,0.898379,17.011381,0.099411,171.063695,0.900633,16.727629,0.097827,170.987628,0.902333
7,22,1,228,1,177,1,238,1,226,17.405675,0.101632,171.258084,0.898379,16.991537,0.099419,170.852055,0.900623,16.711956,0.097814,170.852275,0.902349
8,23,1,259,1,239,1,253,1,257,17.258575,0.101641,169.798627,0.898371,16.873218,0.099403,169.691542,0.900639,16.599253,0.097836,169.663733,0.902325
9,24,1,235,0,520,0,520,0,520,17.336629,0.101628,170.585999,0.898383,16.958481,0.099421,170.517875,0.900621,16.683657,0.097815,170.560680,0.902348
10,25,1,217,1,224,1,222,1,221,17.379102,0.101624,171.011218,0.898388,16.998406,0.099421,170.919212,0.900622,16.721408,0.097823,170.930010,0.902338
11,26,1,240,1,246,1,258,1,246,17.363635,0.101625,170.854388,0.898386,17.001337,0.099407,170.972994,0.900636,16.713001,0.097830,170.835927,0.902331
12,27,1,249,1,248,1,224,1,299,17.403064,0.101634,171.228150,0.898377,17.034410,0.099422,171.278004,0.900622,16.720870,0.097833,170.907762,0.902327
13,28,0,520,0,520,0,520,0,520,17.312694,0.101626,170.353394,0.898386,16.940868,0.099440,170.310725,0.900602,16.656232,0.097819,170.274246,0.902344
14,29,1,222,1,217,1,224,1,206,17.417135,0.101640,171.361984,0.898372,17.030200,0.099418,171.243407,0.900624,16.751235,0.097823,171.233942,0.902338
