condition,strategy,episode,init_state,success,rollout_steps,noise_fingerprints,hook_applications,mean_delta_norm,mean_relative_delta,mean_norm_ratio,mean_cosine_delta_hidden,mean_hidden_norm
baseline,none,0,30,0,520,104,0,,,,,
baseline,none,1,31,1,220,44,0,,,,,
baseline,none,2,32,1,232,47,0,,,,,
baseline,none,3,33,0,520,104,0,,,,,
baseline,none,4,34,1,216,44,0,,,,,
baseline,none,5,35,1,251,51,0,,,,,
baseline,none,6,36,1,228,46,0,,,,,
baseline,none,7,37,1,211,43,0,,,,,
baseline,none,8,38,0,520,104,0,,,,,
baseline,none,9,39,0,520,104,0,,,,,
baseline,none,10,40,1,255,51,0,,,,,
baseline,none,11,41,0,520,104,0,,,,,
baseline,none,12,42,0,520,104,0,,,,,
baseline,none,13,43,1,264,53,0,,,,,
baseline,none,14,44,1,239,48,0,,,,,
shrinkage,shrinkage,0,30,0,520,104,1040,17.346688,0.101625,0.898387,-0.999898,170.691211
shrinkage,shrinkage,1,31,1,224,45,450,17.373624,0.101635,0.898376,-0.999898,170.941638
shrinkage,shrinkage,2,32,1,210,42,420,17.379353,0.101628,0.898384,-0.999898,171.008048
shrinkage,shrinkage,3,33,0,520,104,1040,17.356132,0.101633,0.898378,-0.999898,170.769884
shrinkage,shrinkage,4,34,1,216,44,440,17.329434,0.101630,0.898382,-0.999898,170.510963
shrinkage,shrinkage,5,35,1,210,42,420,17.454854,0.101631,0.898381,-0.999899,171.744910
shrinkage,shrinkage,6,36,1,226,46,460,17.324022,0.101631,0.898381,-0.999899,170.454476
shrinkage,shrinkage,7,37,1,193,39,390,17.335013,0.101638,0.898373,-0.999898,170.555164
shrinkage,shrinkage,8,38,0,520,104,1040,17.274827,0.101625,0.898386,-0.999898,169.982313
shrinkage,shrinkage,9,39,1,154,31,310,17.382939,0.101630,0.898381,-0.999898,171.041841
shrinkage,shrinkage,10,40,1,230,46,460,17.404681,0.101633,0.898379,-0.999898,171.248514
shrinkage,shrinkage,11,41,0,520,104,1040,17.317549,0.101623,0.898388,-0.999898,170.403424
shrinkage,shrinkage,12,42,0,520,104,1040,17.385367,0.101628,0.898384,-0.999898,171.066873
shrinkage,shrinkage,13,43,1,224,45,450,17.322348,0.101634,0.898377,-0.999898,170.438475
shrinkage,shrinkage,14,44,1,334,67,670,17.315896,0.101637,0.898375,-0.999898,170.368840
coast,global,0,30,0,520,104,1040,16.975598,0.099429,0.900614,-0.999616,170.679666
coast,global,1,31,1,230,46,460,16.996870,0.099415,0.900628,-0.999604,170.912218
coast,global,2,32,1,194,39,390,16.991138,0.099412,0.900633,-0.999595,170.859273
coast,global,3,33,0,520,104,1040,16.977151,0.099441,0.900601,-0.999621,170.673560
coast,global,4,34,1,216,44,440,16.949393,0.099424,0.900620,-0.999602,170.425130
coast,global,5,35,1,222,45,450,17.051326,0.099422,0.900620,-0.999614,171.451425
coast,global,6,36,1,232,47,470,16.960518,0.099419,0.900626,-0.999598,170.541958
coast,global,7,37,1,181,37,370,16.943940,0.099402,0.900642,-0.999600,170.404296
coast,global,8,38,0,520,104,1040,16.896607,0.099427,0.900615,-0.999619,169.887371
coast,global,9,39,1,177,36,360,17.058998,0.099406,0.900639,-0.999590,171.554347
coast,global,10,40,1,235,47,470,17.023883,0.099414,0.900630,-0.999603,171.187060
coast,global,11,41,1,250,50,500,16.973654,0.099426,0.900616,-0.999613,170.662226
coast,global,12,42,0,520,104,1040,17.004695,0.099426,0.900617,-0.999611,170.974698
coast,global,13,43,1,259,52,520,16.937000,0.099420,0.900623,-0.999610,170.304486
coast,global,14,44,1,229,46,460,16.946999,0.099430,0.900612,-0.999616,170.389806
random_matched,random_matched,0,30,0,520,104,1040,16.672733,0.097826,0.902337,-0.998497,170.429739
random_matched,random_matched,1,31,1,223,45,450,16.719516,0.097828,0.902334,-0.998502,170.903546
random_matched,random_matched,2,32,1,201,41,410,16.715259,0.097814,0.902349,-0.998494,170.887918
random_matched,random_matched,3,33,0,520,104,1040,16.693495,0.097830,0.902331,-0.998511,170.635662
random_matched,random_matched,4,34,1,225,45,450,16.667091,0.097820,0.902343,-0.998489,170.382517
random_matched,random_matched,5,35,1,217,44,440,16.781313,0.097823,0.902339,-0.998508,171.548068
random_matched,random_matched,6,36,1,229,46,460,16.668862,0.097819,0.902344,-0.998494,170.406079
random_matched,random_matched,7,37,1,209,42,420,16.675537,0.097806,0.902357,-0.998487,170.491026
random_matched,random_matched,8,38,1,264,53,530,16.630379,0.097819,0.902345,-0.998488,170.009361
random_matched,random_matched,9,39,0,520,104,1040,16.694340,0.097830,0.902333,-0.998503,170.646494
random_matched,random_matched,10,40,1,230,46,460,16.750300,0.097819,0.902343,-0.998505,171.230450
random_matched,random_matched,11,41,1,247,50,500,16.691412,0.097832,0.902329,-0.998516,170.609004
random_matched,random_matched,12,42,0,520,104,1040,16.708899,0.097820,0.902343,-0.998497,170.809501
random_matched,random_matched,13,43,1,226,46,460,16.652853,0.097828,0.902333,-0.998509,170.222304
random_matched,random_matched,14,44,1,238,48,480,16.657538,0.097827,0.902334,-0.998513,170.273304
