part,task,state_set,condition,strategy,beta,episode,init_state,success,rollout_steps,noise_fingerprints,hook_applications,mean_delta_norm,mean_relative_delta,mean_norm_ratio,mean_cosine_delta_hidden,mean_hidden_norm
1,libero_10_task02,P,baseline,none,,0,45,0,520,104,,,,,,
1,libero_10_task02,P,baseline,none,,1,46,0,520,104,,,,,,
1,libero_10_task02,P,baseline,none,,2,47,0,520,104,,,,,,
1,libero_10_task02,P,baseline,none,,3,48,1,284,57,,,,,,
1,libero_10_task02,P,baseline,none,,4,49,0,520,104,,,,,,
1,libero_10_task02,P,baseline,none,,5,0,0,520,104,,,,,,
1,libero_10_task02,P,baseline,none,,6,1,1,258,52,,,,,,
1,libero_10_task02,P,baseline,none,,7,2,1,202,41,,,,,,
1,libero_10_task02,P,baseline,none,,8,3,1,296,60,,,,,,
1,libero_10_task02,P,baseline,none,,9,4,1,219,44,,,,,,
1,libero_10_task02,P,baseline,none,,10,5,1,230,46,,,,,,
1,libero_10_task02,P,baseline,none,,11,6,0,520,104,,,,,,
1,libero_10_task02,P,baseline,none,,12,7,0,520,104,,,,,,
1,libero_10_task02,P,baseline,none,,13,8,0,520,104,,,,,,
1,libero_10_task02,P,baseline,none,,14,9,0,520,104,,,,,,
1,libero_10_task02,P,baseline,none,,15,10,0,520,104,,,,,,
1,libero_10_task02,P,baseline,none,,16,11,0,520,104,,,,,,
1,libero_10_task02,P,baseline,none,,17,12,1,204,41,,,,,,
1,libero_10_task02,P,baseline,none,,18,13,1,219,44,,,,,,
1,libero_10_task02,P,baseline,none,,19,14,1,216,44,,,,,,
1,libero_10_task02,P,coast_b01,global,0.1,0,45,0,520,104,1040,16.946846,0.099413,0.900631,-0.999603,170.412602
1,libero_10_task02,P,coast_b01,global,0.1,1,46,1,237,48,480,17.000381,0.099418,0.900624,-0.999615,170.942424
1,libero_10_task02,P,coast_b01,global,0.1,2,47,1,215,43,430,16.975172,0.099433,0.900610,-0.999608,170.660963
1,libero_10_task02,P,coast_b01,global,0.1,3,48,1,196,40,400,17.021003,0.099426,0.900617,-0.999607,171.140929
1,libero_10_task02,P,coast_b01,global,0.1,4,49,0,520,104,1040,16.916180,0.099426,0.900615,-0.999627,170.085495
1,libero_10_task02,P,coast_b01,global,0.1,5,0,1,199,40,400,16.974883,0.099412,0.900631,-0.999609,170.696304
1,libero_10_task02,P,coast_b01,global,0.1,6,1,1,250,50,500,16.962587,0.099413,0.900631,-0.999606,170.572959
1,libero_10_task02,P,coast_b01,global,0.1,7,2,1,206,42,420,17.033120,0.099435,0.900608,-0.999615,171.243207
1,libero_10_task02,P,coast_b01,global,0.1,8,3,1,250,50,500,16.969504,0.099414,0.900629,-0.999611,170.640154
1,libero_10_task02,P,coast_b01,global,0.1,9,4,1,218,44,440,16.945850,0.099426,0.900618,-0.999604,170.382580
1,libero_10_task02,P,coast_b01,global,0.1,10,5,0,520,104,1040,16.967244,0.099421,0.900622,-0.999612,170.607219
1,libero_10_task02,P,coast_b01,global,0.1,11,6,0,520,104,1040,16.979650,0.099409,0.900635,-0.999601,170.751933
1,libero_10_task02,P,coast_b01,global,0.1,12,7,0,520,104,1040,16.945361,0.099439,0.900602,-0.999628,170.356675
1,libero_10_task02,P,coast_b01,global,0.1,13,8,0,520,104,1040,16.956532,0.099425,0.900618,-0.999610,170.492699
1,libero_10_task02,P,coast_b01,global,0.1,14,9,1,212,43,430,17.004927,0.099415,0.900628,-0.999611,170.996310
1,libero_10_task02,P,coast_b01,global,0.1,15,10,0,520,104,1040,16.953122,0.099428,0.900615,-0.999613,170.453654
1,libero_10_task02,P,coast_b01,global,0.1,16,11,1,264,53,530,16.967467,0.099429,0.900613,-0.999621,170.596716
1,libero_10_task02,P,coast_b01,global,0.1,17,12,0,520,104,1040,16.952448,0.099443,0.900599,-0.999621,170.422625
1,libero_10_task02,P,coast_b01,global,0.1,18,13,1,226,46,460,16.981701,0.099412,0.900632,-0.999602,170.765034
1,libero_10_task02,P,coast_b01,global,0.1,19,14,1,213,43,430,17.056657,0.099405,0.900639,-0.999603,171.531008
1,libero_10_task02,P,coast_b02,global,0.2,0,45,1,205,41,410,34.316759,0.199033,0.801040,-0.999709,172.429783
1,libero_10_task02,P,coast_b02,global,0.2,1,46,1,224,45,450,34.528055,0.199040,0.801029,-0.999722,173.487182
1,libero_10_task02,P,coast_b02,global,0.2,2,47,0,520,104,1040,34.410824,0.199066,0.801002,-0.999723,172.876861
1,libero_10_task02,P,coast_b02,global,0.2,3,48,1,187,38,380,34.551685,0.199036,0.801037,-0.999705,173.608018
1,libero_10_task02,P,coast_b02,global,0.2,4,49,0,520,104,1040,34.302068,0.199109,0.800954,-0.999747,172.297783
1,libero_10_task02,P,coast_b02,global,0.2,5,0,1,247,50,500,34.441824,0.199032,0.801037,-0.999723,173.062820
1,libero_10_task02,P,coast_b02,global,0.2,6,1,0,520,104,1040,34.387876,0.199052,0.801020,-0.999713,172.773021
1,libero_10_task02,P,coast_b02,global,0.2,7,2,1,212,43,430,34.588069,0.199022,0.801048,-0.999716,173.804240
1,libero_10_task02,P,coast_b02,global,0.2,8,3,1,244,49,490,34.452588,0.199045,0.801025,-0.999716,173.103383
1,libero_10_task02,P,coast_b02,global,0.2,9,4,1,164,33,330,34.366686,0.199031,0.801042,-0.999707,172.681499
1,libero_10_task02,P,coast_b02,global,0.2,10,5,0,520,104,1040,34.409416,0.199049,0.801022,-0.999716,172.884916
1,libero_10_task02,P,coast_b02,global,0.2,11,6,0,520,104,1040,34.430400,0.199023,0.801050,-0.999707,173.010642
1,libero_10_task02,P,coast_b02,global,0.2,12,7,1,230,46,460,34.475622,0.199034,0.801038,-0.999712,173.226726
1,libero_10_task02,P,coast_b02,global,0.2,13,8,0,520,104,1040,34.426299,0.199044,0.801028,-0.999711,172.971690
1,libero_10_task02,P,coast_b02,global,0.2,14,9,1,212,43,430,34.500621,0.199021,0.801050,-0.999714,173.363586
1,libero_10_task02,P,coast_b02,global,0.2,15,10,0,520,104,1040,34.408992,0.199052,0.801017,-0.999722,172.880715
1,libero_10_task02,P,coast_b02,global,0.2,16,11,1,194,39,390,34.552123,0.199048,0.801022,-0.999718,173.602457
1,libero_10_task02,P,coast_b02,global,0.2,17,12,0,520,104,1040,34.420443,0.199069,0.800998,-0.999729,172.923903
1,libero_10_task02,P,coast_b02,global,0.2,18,13,1,217,44,440,34.480354,0.199027,0.801048,-0.999701,173.257076
1,libero_10_task02,P,coast_b02,global,0.2,19,14,1,209,42,420,34.627588,0.199017,0.801056,-0.999708,174.007567
1,libero_10_task02,P,coast_b03,global,0.3,0,45,1,202,41,410,52.270917,0.297816,0.702302,-0.999722,175.503391
1,libero_10_task02,P,coast_b03,global,0.3,1,46,1,229,46,460,52.598703,0.297815,0.702297,-0.999735,176.606353
1,libero_10_task02,P,coast_b03,global,0.3,2,47,0,520,104,1040,52.432219,0.297824,0.702291,-0.999729,176.041566
1,libero_10_task02,P,coast_b03,global,0.3,3,48,1,228,46,460,52.588969,0.297789,0.702330,-0.999718,176.587511
1,libero_10_task02,P,coast_b03,global,0.3,4,49,0,520,104,1040,52.295022,0.297823,0.702293,-0.999726,175.581673
1,libero_10_task02,P,coast_b03,global,0.3,5,0,0,520,104,1040,52.357620,0.297852,0.702258,-0.999739,175.776951
1,libero_10_task02,P,coast_b03,global,0.3,6,1,0,520,104,1040,52.381814,0.297829,0.702286,-0.999729,175.869869
1,libero_10_task02,P,coast_b03,global,0.3,7,2,1,193,39,390,52.742329,0.297774,0.702344,-0.999723,177.111721
1,libero_10_task02,P,coast_b03,global,0.3,8,3,1,224,45,450,52.523882,0.297805,0.702310,-0.999728,176.361196
1,libero_10_task02,P,coast_b03,global,0.3,9,4,1,162,33,330,52.374762,0.297808,0.702312,-0.999717,175.857117
1,libero_10_task02,P,coast_b03,global,0.3,10,5,1,217,44,440,52.634609,0.297781,0.702343,-0.999708,176.745765
1,libero_10_task02,P,coast_b03,global,0.3,11,6,0,520,104,1040,52.516163,0.297790,0.702327,-0.999724,176.343536
1,libero_10_task02,P,coast_b03,global,0.3,12,7,1,215,43,430,52.578382,0.297796,0.702323,-0.999719,176.547910
1,libero_10_task02,P,coast_b03,global,0.3,13,8,0,520,104,1040,52.424795,0.297827,0.702288,-0.999728,176.015641
1,libero_10_task02,P,coast_b03,global,0.3,14,9,1,212,43,430,52.578363,0.297796,0.702320,-0.999727,176.549148
1,libero_10_task02,P,coast_b03,global,0.3,15,10,0,520,104,1040,52.404411,0.297850,0.702262,-0.999736,175.935534
1,libero_10_task02,P,coast_b03,global,0.3,16,11,0,520,104,1040,52.487517,0.297828,0.702284,-0.999737,176.227341
1,libero_10_task02,P,coast_b03,global,0.3,17,12,1,204,41,410,52.707285,0.297770,0.702349,-0.999719,176.995575
1,libero_10_task02,P,coast_b03,global,0.3,18,13,0,520,104,1040,52.295028,0.297852,0.702262,-0.999733,175.566153
1,libero_10_task02,P,coast_b03,global,0.3,19,14,1,208,42,420,52.771775,0.297765,0.702352,-0.999723,177.217233
1,libero_10_task02,P,shrink_b01,shrinkage,0.1,0,45,0,520,104,1040,17.306140,0.101624,0.898388,-0.999898,170.292511
1,libero_10_task02,P,shrink_b01,shrinkage,0.1,1,46,1,230,46,460,17.375362,0.101624,0.898388,-0.999898,170.975139
1,libero_10_task02,P,shrink_b01,shrinkage,0.1,2,47,1,213,43,430,17.348734,0.101630,0.898381,-0.999899,170.702637
1,libero_10_task02,P,shrink_b01,shrinkage,0.1,3,48,1,189,38,380,17.392902,0.101622,0.898390,-0.999898,171.150095
1,libero_10_task02,P,shrink_b01,shrinkage,0.1,4,49,0,520,104,1040,17.327934,0.101634,0.898377,-0.999899,170.492667
1,libero_10_task02,P,shrink_b01,shrinkage,0.1,5,0,1,243,49,490,17.355486,0.101630,0.898381,-0.999899,170.769825
1,libero_10_task02,P,shrink_b01,shrinkage,0.1,6,1,0,520,104,1040,17.332061,0.101631,0.898381,-0.999898,170.538091
1,libero_10_task02,P,shrink_b01,shrinkage,0.1,7,2,1,211,43,430,17.418453,0.101629,0.898383,-0.999898,171.390884
1,libero_10_task02,P,shrink_b01,shrinkage,0.1,8,3,1,249,50,500,17.343689,0.101626,0.898385,-0.999898,170.659756
1,libero_10_task02,P,shrink_b01,shrinkage,0.1,9,4,1,204,41,410,17.330442,0.101630,0.898382,-0.999899,170.524670
1,libero_10_task02,P,shrink_b01,shrinkage,0.1,10,5,0,520,104,1040,17.359939,0.101634,0.898377,-0.999898,170.804507
1,libero_10_task02,P,shrink_b01,shrinkage,0.1,11,6,0,520,104,1040,17.350764,0.101619,0.898393,-0.999899,170.737040
1,libero_10_task02,P,shrink_b01,shrinkage,0.1,12,7,0,520,104,1040,17.303331,0.101625,0.898387,-0.999898,170.264215
1,libero_10_task02,P,shrink_b01,shrinkage,0.1,13,8,0,520,104,1040,17.334548,0.101632,0.898380,-0.999898,170.561016
1,libero_10_task02,P,shrink_b01,shrinkage,0.1,14,9,1,211,43,430,17.379756,0.101625,0.898387,-0.999898,171.016152
1,libero_10_task02,P,shrink_b01,shrinkage,0.1,15,10,0,520,104,1040,17.328393,0.101635,0.898376,-0.999898,170.493821
1,libero_10_task02,P,shrink_b01,shrinkage,0.1,16,11,0,520,104,1040,17.326448,0.101628,0.898383,-0.999898,170.485127
1,libero_10_task02,P,shrink_b01,shrinkage,0.1,17,12,0,520,104,1040,17.342918,0.101627,0.898384,-0.999898,170.650880
1,libero_10_task02,P,shrink_b01,shrinkage,0.1,18,13,1,229,46,460,17.356024,0.101641,0.898371,-0.999898,170.759013
1,libero_10_task02,P,shrink_b01,shrinkage,0.1,19,14,1,214,43,430,17.436998,0.101632,0.898379,-0.999898,171.570099
1,libero_10_task02,P,shrink_b02,shrinkage,0.2,0,45,1,208,42,420,34.300365,0.199072,0.800933,-0.999980,172.298617
1,libero_10_task02,P,shrink_b02,shrinkage,0.2,1,46,1,236,48,480,34.537795,0.199086,0.800919,-0.999980,173.480952
1,libero_10_task02,P,shrink_b02,shrinkage,0.2,2,47,0,520,104,1040,34.434928,0.199083,0.800922,-0.999980,172.966704
1,libero_10_task02,P,shrink_b02,shrinkage,0.2,3,48,1,185,37,370,34.566247,0.199086,0.800920,-0.999980,173.623530
1,libero_10_task02,P,shrink_b02,shrinkage,0.2,4,49,1,242,49,490,34.331227,0.199076,0.800929,-0.999980,172.451311
