condition,episode,init_state,success,rollout_steps
baseline,0,15,1,260
baseline,1,16,1,232
baseline,2,17,0,520
baseline,3,18,1,224
baseline,4,19,0,520
baseline,5,20,1,220
baseline,6,21,0,520
baseline,7,22,1,199
baseline,8,23,0,520
baseline,9,24,1,232
baseline,10,25,1,204
baseline,11,26,0,520
baseline,12,27,1,326
baseline,13,28,0,520
baseline,14,29,1,266
baseline,15,30,1,213
baseline,16,31,0,520
baseline,17,32,0,520
baseline,18,33,0,520
baseline,19,34,1,245
baseline,20,35,1,249
baseline,21,36,1,209
baseline,22,37,0,520
baseline,23,38,1,244
baseline,24,39,1,228
baseline,25,40,0,520
baseline,26,41,1,290
baseline,27,42,1,266
baseline,28,43,1,260
baseline,29,44,1,254
coast_global_L5_a0.5_b0.1,0,15,0,520
coast_global_L5_a0.5_b0.1,1,16,1,223
coast_global_L5_a0.5_b0.1,2,17,1,221
coast_global_L5_a0.5_b0.1,3,18,1,222
coast_global_L5_a0.5_b0.1,4,19,1,204
coast_global_L5_a0.5_b0.1,5,20,0,520
coast_global_L5_a0.5_b0.1,6,21,1,227
coast_global_L5_a0.5_b0.1,7,22,0,520
coast_global_L5_a0.5_b0.1,8,23,0,520
coast_global_L5_a0.5_b0.1,9,24,1,207
coast_global_L5_a0.5_b0.1,10,25,1,243
coast_global_L5_a0.5_b0.1,11,26,1,274
coast_global_L5_a0.5_b0.1,12,27,1,214
coast_global_L5_a0.5_b0.1,13,28,1,217
coast_global_L5_a0.5_b0.1,14,29,1,197
coast_global_L5_a0.5_b0.1,15,30,0,520
coast_global_L5_a0.5_b0.1,16,31,1,227
coast_global_L5_a0.5_b0.1,17,32,1,177
coast_global_L5_a0.5_b0.1,18,33,0,520
coast_global_L5_a0.5_b0.1,19,34,1,243
coast_global_L5_a0.5_b0.1,20,35,0,520
coast_global_L5_a0.5_b0.1,21,36,0,520
coast_global_L5_a0.5_b0.1,22,37,0,520
coast_global_L5_a0.5_b0.1,23,38,1,205
coast_global_L5_a0.5_b0.1,24,39,1,197
coast_global_L5_a0.5_b0.1,25,40,0,520
coast_global_L5_a0.5_b0.1,26,41,1,258
coast_global_L5_a0.5_b0.1,27,42,1,245
coast_global_L5_a0.5_b0.1,28,43,0,520
coast_global_L5_a0.5_b0.1,29,44,1,241
