strategy,order,layer,alpha,beta,condition,fit_success,fit_n,fit_rate,mean_steps,video_agrees
global,0,0,0.1,0.1,global_L0_a0.1_b0.1,10,15,0.667,320.7,True
global,1,0,0.1,0.3,global_L0_a0.1_b0.3,8,15,0.533,352.8,True
global,2,0,0.1,0.5,global_L0_a0.1_b0.5,6,15,0.4,393.9,True
global,3,0,0.5,0.1,global_L0_a0.5_b0.1,7,15,0.467,389.5,True
global,4,0,0.5,0.3,global_L0_a0.5_b0.3,12,15,0.8,273.5,True
global,5,0,0.5,0.5,global_L0_a0.5_b0.5,9,15,0.6,334.4,True
global,6,0,1.0,0.1,global_L0_a1.0_b0.1,11,15,0.733,302.1,True
global,7,0,1.0,0.3,global_L0_a1.0_b0.3,12,15,0.8,270.7,True
global,8,0,1.0,0.5,global_L0_a1.0_b0.5,6,15,0.4,395.7,True
global,9,0,2.0,0.1,global_L0_a2.0_b0.1,10,15,0.667,330.1,True
global,10,0,2.0,0.3,global_L0_a2.0_b0.3,7,15,0.467,384.8,True
global,11,0,2.0,0.5,global_L0_a2.0_b0.5,4,15,0.267,440.5,True
global,12,0,10.0,0.1,global_L0_a10.0_b0.1,11,15,0.733,305.5,True
global,13,0,10.0,0.3,global_L0_a10.0_b0.3,9,15,0.6,340.0,True
global,14,0,10.0,0.5,global_L0_a10.0_b0.5,11,15,0.733,295.2,True
global,15,5,0.1,0.1,global_L5_a0.1_b0.1,7,15,0.467,383.0,True
global,16,5,0.1,0.3,global_L5_a0.1_b0.3,8,15,0.533,365.0,True
global,17,5,0.1,0.5,global_L5_a0.1_b0.5,6,15,0.4,404.3,True
global,18,5,0.5,0.1,global_L5_a0.5_b0.1,9,15,0.6,344.4,True
global,19,5,0.5,0.3,global_L5_a0.5_b0.3,11,15,0.733,304.5,True
global,20,5,0.5,0.5,global_L5_a0.5_b0.5,4,15,0.267,439.1,True
global,21,5,1.0,0.1,global_L5_a1.0_b0.1,11,15,0.733,313.5,True
global,22,5,1.0,0.3,global_L5_a1.0_b0.3,10,15,0.667,322.2,True
global,23,5,1.0,0.5,global_L5_a1.0_b0.5,3,15,0.2,465.0,True
global,24,5,2.0,0.1,global_L5_a2.0_b0.1,11,15,0.733,308.2,True
global,25,5,2.0,0.3,global_L5_a2.0_b0.3,11,15,0.733,294.3,True
global,26,5,2.0,0.5,global_L5_a2.0_b0.5,3,15,0.2,466.4,True
global,27,5,10.0,0.1,global_L5_a10.0_b0.1,11,15,0.733,308.3,True
global,28,5,10.0,0.3,global_L5_a10.0_b0.3,9,15,0.6,331.9,True
global,29,5,10.0,0.5,global_L5_a10.0_b0.5,5,15,0.333,438.8,True
global,30,11,0.1,0.1,global_L11_a0.1_b0.1,9,15,0.6,351.1,True
global,31,11,0.1,0.3,global_L11_a0.1_b0.3,10,15,0.667,310.7,True
global,32,11,0.1,0.5,global_L11_a0.1_b0.5,8,15,0.533,369.7,True
global,33,11,0.5,0.1,global_L11_a0.5_b0.1,8,15,0.533,360.1,True
global,34,11,0.5,0.3,global_L11_a0.5_b0.3,13,15,0.867,261.1,True
global,35,11,0.5,0.5,global_L11_a0.5_b0.5,5,15,0.333,427.1,True
global,36,11,1.0,0.1,global_L11_a1.0_b0.1,8,15,0.533,355.5,True
global,37,11,1.0,0.3,global_L11_a1.0_b0.3,9,15,0.6,341.8,True
global,38,11,1.0,0.5,global_L11_a1.0_b0.5,7,15,0.467,388.4,True
global,39,11,2.0,0.1,global_L11_a2.0_b0.1,11,15,0.733,307.1,True
global,40,11,2.0,0.3,global_L11_a2.0_b0.3,11,15,0.733,297.8,True
global,41,11,2.0,0.5,global_L11_a2.0_b0.5,10,15,0.667,355.0,True
global,42,11,10.0,0.1,global_L11_a10.0_b0.1,8,15,0.533,363.3,True
global,43,11,10.0,0.3,global_L11_a10.0_b0.3,11,15,0.733,285.8,True
global,44,11,10.0,0.5,global_L11_a10.0_b0.5,3,15,0.2,465.3,True
global,45,17,0.1,0.1,global_L17_a0.1_b0.1,8,15,0.533,365.6,True
global,46,17,0.1,0.3,global_L17_a0.1_b0.3,10,15,0.667,323.5,True
global,47,17,0.1,0.5,global_L17_a0.1_b0.5,12,15,0.8,288.7,True
global,48,17,0.5,0.1,global_L17_a0.5_b0.1,7,15,0.467,381.5,True
global,49,17,0.5,0.3,global_L17_a0.5_b0.3,10,15,0.667,328.6,True
global,50,17,0.5,0.5,global_L17_a0.5_b0.5,10,15,0.667,323.6,True
global,51,17,1.0,0.1,global_L17_a1.0_b0.1,7,15,0.467,389.5,True
global,52,17,1.0,0.3,global_L17_a1.0_b0.3,9,15,0.6,346.5,True
global,53,17,1.0,0.5,global_L17_a1.0_b0.5,7,15,0.467,396.3,True
global,54,17,2.0,0.1,global_L17_a2.0_b0.1,9,15,0.6,342.1,True
global,55,17,2.0,0.3,global_L17_a2.0_b0.3,6,15,0.4,414.3,True
global,56,17,2.0,0.5,global_L17_a2.0_b0.5,9,15,0.6,342.5,True
global,57,17,10.0,0.1,global_L17_a10.0_b0.1,9,15,0.6,341.1,True
global,58,17,10.0,0.3,global_L17_a10.0_b0.3,8,15,0.533,361.7,True
global,59,17,10.0,0.5,global_L17_a10.0_b0.5,9,15,0.6,340.3,True
positive_only,0,0,0.1,0.1,positive_only_L0_a0.1_b0.1,10,15,0.667,330.3,True
positive_only,1,0,0.1,0.3,positive_only_L0_a0.1_b0.3,9,15,0.6,343.1,True
positive_only,2,0,0.1,0.5,positive_only_L0_a0.1_b0.5,11,15,0.733,312.1,True
positive_only,3,0,0.5,0.1,positive_only_L0_a0.5_b0.1,9,15,0.6,352.0,True
positive_only,4,0,0.5,0.3,positive_only_L0_a0.5_b0.3,9,15,0.6,337.5,True
positive_only,5,0,0.5,0.5,positive_only_L0_a0.5_b0.5,8,15,0.533,360.3,True
positive_only,6,0,1.0,0.1,positive_only_L0_a1.0_b0.1,8,15,0.533,365.9,True
positive_only,7,0,1.0,0.3,positive_only_L0_a1.0_b0.3,8,15,0.533,363.9,True
positive_only,8,0,1.0,0.5,positive_only_L0_a1.0_b0.5,7,15,0.467,394.7,True
positive_only,9,0,2.0,0.1,positive_only_L0_a2.0_b0.1,7,15,0.467,386.9,True
positive_only,10,0,2.0,0.3,positive_only_L0_a2.0_b0.3,12,15,0.8,286.7,True
