task,task_id,arm,condition,repeat,layer,alpha,beta,episode,init_state,success,rollout_steps,checkpoint,candidate_sha,conceptor_source,gpu,output_dir
LR2a,0,H,BASELINE,1,11,0.5,0.3,0,0,1,442,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,none,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/baseline
LR2a,0,H,BASELINE,1,11,0.5,0.3,1,1,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,none,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/baseline
LR2a,0,H,BASELINE,1,11,0.5,0.3,2,2,1,269,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,none,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/baseline
LR2a,0,H,BASELINE,1,11,0.5,0.3,3,3,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,none,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/baseline
LR2a,0,H,BASELINE,1,11,0.5,0.3,4,4,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,none,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/baseline
LR2a,0,H,BASELINE,1,11,0.5,0.3,5,5,1,301,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,none,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/baseline
LR2a,0,H,BASELINE,1,11,0.5,0.3,6,6,1,295,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,none,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/baseline
LR2a,0,H,BASELINE,1,11,0.5,0.3,7,7,1,303,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,none,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/baseline
LR2a,0,H,BASELINE,1,11,0.5,0.3,8,8,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,none,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/baseline
LR2a,0,H,BASELINE,1,11,0.5,0.3,9,9,0,520,checkpoints/openpi-libero-2000 (HF brandonyang/openpi-libero-2000 rev aaeeabc72f8a),29059a537ce123abdab7a4e164db0c72eeff8024,none,0,/tmp/claude-1000/-home-stanley-Stanley-ws-COAST-research-COAST/dd2dd40c-4801-4748-8fa9-5fc7ffed3e09/scratchpad/phase7a/runs/LR2a/H/rep1/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato/baseline
