task,arm,condition,repeat,successes,n,success_rate
LR2a,H,BASELINE,1,7,15,0.4667
LR2a,H,BASELINE,2,7,15,0.4667
LR2a,H,BASELINE,pooled,14,30,0.4667
LR2a,H,PAPER_GLOBAL,1,10,15,0.6667
LR2a,H,PAPER_GLOBAL,2,7,15,0.4667
LR2a,H,PAPER_GLOBAL,pooled,17,30,0.5667
LR2a,H,RANDOM_CONTROL,1,9,15,0.6
LR2a,H,RANDOM_CONTROL,2,7,15,0.4667
LR2a,H,RANDOM_CONTROL,pooled,16,30,0.5333
LR2a,T,BASELINE,1,13,30,0.4333
LR2a,T,BASELINE,2,18,30,0.6
LR2a,T,BASELINE,pooled,31,60,0.5167
LR2a,T,PAPER_GLOBAL,1,20,30,0.6667
LR2a,T,PAPER_GLOBAL,2,15,30,0.5
LR2a,T,PAPER_GLOBAL,pooled,35,60,0.5833
LR2a,T,RANDOM_CONTROL,1,18,30,0.6
LR2a,T,RANDOM_CONTROL,2,20,30,0.6667
LR2a,T,RANDOM_CONTROL,pooled,38,60,0.6333
KS4,H,BASELINE,1,8,15,0.5333
KS4,H,BASELINE,2,8,15,0.5333
KS4,H,BASELINE,pooled,16,30,0.5333
KS4,H,PAPER_GLOBAL,1,8,15,0.5333
KS4,H,PAPER_GLOBAL,2,6,15,0.4
KS4,H,PAPER_GLOBAL,pooled,14,30,0.4667
KS4,H,RANDOM_CONTROL,1,10,15,0.6667
KS4,H,RANDOM_CONTROL,2,7,15,0.4667
KS4,H,RANDOM_CONTROL,pooled,17,30,0.5667
KS4,T,BASELINE,1,12,30,0.4
KS4,T,BASELINE,2,13,30,0.4333
KS4,T,BASELINE,pooled,25,60,0.4167
KS4,T,PAPER_GLOBAL,1,15,30,0.5
KS4,T,PAPER_GLOBAL,2,15,30,0.5
KS4,T,PAPER_GLOBAL,pooled,30,60,0.5
KS4,T,RANDOM_CONTROL,1,10,30,0.3333
KS4,T,RANDOM_CONTROL,2,14,30,0.4667
KS4,T,RANDOM_CONTROL,pooled,24,60,0.4
LR1,H,BASELINE,1,8,15,0.5333
LR1,H,BASELINE,2,7,15,0.4667
LR1,H,BASELINE,pooled,15,30,0.5
LR1,H,PAPER_GLOBAL,1,8,15,0.5333
LR1,H,PAPER_GLOBAL,2,15,15,1.0
LR1,H,PAPER_GLOBAL,pooled,23,30,0.7667
LR1,H,RANDOM_CONTROL,1,9,15,0.6
LR1,H,RANDOM_CONTROL,2,10,15,0.6667
LR1,H,RANDOM_CONTROL,pooled,19,30,0.6333
LR1,T,BASELINE,1,17,30,0.5667
LR1,T,BASELINE,2,19,30,0.6333
LR1,T,BASELINE,pooled,36,60,0.6
LR1,T,PAPER_GLOBAL,1,22,30,0.7333
LR1,T,PAPER_GLOBAL,2,22,30,0.7333
LR1,T,PAPER_GLOBAL,pooled,44,60,0.7333
LR1,T,RANDOM_CONTROL,1,25,30,0.8333
LR1,T,RANDOM_CONTROL,2,22,30,0.7333
LR1,T,RANDOM_CONTROL,pooled,47,60,0.7833
